교량명,시설물종별등급구분,시도명,시군구명,교량연장,교량폭,차로수,상부구조형식,최종안전점검결과,설계활하중,준공후경과년수,경간수,최대경간장,교통량
회천교,2,경기도,양주시,50,32.5,6,프리플렉스거더교,B,DB-24,9,1,50,35532
청담천교 1,1,경기도,양주시,200,21,3,강박스거더교,B,DB-24,9,4,55,35532
청담천교 2,1,경기도,양주시,200,15,3,강박스거더교,B,DB-24,9,4,55,35532
우산교,기타,경기도,양주시,35,30.5,6,PSC슬래브교,B,DB-24,8,1,35,35532
옥정교,기타,경기도,양주시,46,27.9,6,PSC슬래브교,A,DB-24,8,1,46,35532
고암교,기타,경기도,양주시,12,35,8,라멘교,B,DB-24,8,1,12,35532
회암IC 1교,기타,경기도,양주시,25,28,6,프리플렉스거더교,B,DB-24,8,1,25,35532
회암IC 2교,기타,경기도,양주시,40,36,8,프리플렉스거더교,B,DB-24,8,1,40,35532
회암천교(상),1,경기도,양주시,145,15,3,강박스거더교,B,DB-24,9,3,55,35532
노촌말교,기타,경기도,양주시,40,28,6,프리플렉스거더교,B,DB-24,8,1,40,35532
봉양교,기타,경기도,양주시,15,28,6,라멘교,B,DB-24,8,1,15,35532
월덕보교,기타,경기도,양주시,40,28,6,프리플렉스거더교,B,DB-24,8,1,40,35532
